Epoch,loss,mse,val_loss,val_mse
0,0.47092,0.14711,12.02821,0.78932
1,0.24489,0.0578,6.26035,0.47427
2,0.16632,0.03552,1.32357,0.29734
3,0.12891,0.02769,0.28368,0.07369
4,0.10612,0.02341,0.19928,0.0475
5,0.09563,0.02229,0.12557,0.0279
6,0.08489,0.02029,0.10664,0.02519
7,0.07928,0.01959,0.09213,0.02202
8,0.07204,0.01807,0.08286,0.0201
9,0.06696,0.01708,0.07775,0.01957
10,0.0614,0.01583,0.07245,0.01862
11,0.05828,0.01523,0.07087,0.01857
12,0.05523,0.01461,0.07274,0.01968
13,0.05239,0.01399,0.06946,0.01893
14,0.05124,0.01387,0.0665,0.01839
15,0.04634,0.0126,0.06601,0.01828
16,0.04394,0.01199,0.06774,0.01873
17,0.04231,0.01162,0.06288,0.0175
18,0.04063,0.01121,0.06187,0.01715
19,0.03938,0.01087,0.06426,0.01794
20,0.03873,0.0108,0.06253,0.01727
21,0.03545,0.00985,0.06463,0.01785
22,0.03437,0.00958,0.06526,0.01796
23,0.03231,0.00899,0.06357,0.01744
24,0.03218,0.00905,0.06219,0.01704
25,0.02985,0.00834,0.06446,0.01742
26,0.02919,0.00819,0.0628,0.01706
27,0.02859,0.00805,0.06191,0.01673
28,0.02807,0.00793,0.0666,0.01783
29,0.02645,0.00744,0.06394,0.01696
30,0.02529,0.0071,0.06475,0.0169
31,0.02488,0.00702,0.06752,0.01737
32,0.02394,0.00674,0.06878,0.01763
33,0.02441,0.00694,0.07268,0.01825
34,0.02395,0.0068,0.06801,0.01731
35,0.0227,0.00643,0.07072,0.0178
36,0.02259,0.00642,0.07204,0.01782
37,0.0219,0.00622,0.06929,0.01718
38,0.02119,0.00603,0.07128,0.01766
